,commenter_id,commenter_name,comment_text,comment_time
3037,100056105382315,Chị Út,Cung qua ha,2023-11-25 00:00:00
3038,100093633363351,Lê Kỳ Yên,phải tải app vietinbank về à ae,2023-11-22 00:00:00
3039,100089697013173,Tạ Thái Hồng,xịn vây sao,2023-11-22 00:00:00
3040,100027215103157,Ngô Ái Nghĩa,đĩnhhh,2023-11-22 00:00:00
3041,100048379260020,Nguyễn Huyền Trang,Gia Hwy :))),2023-11-15 00:00:00
3042,100010161516088,Đặng Duy Tân,Diêm Thống Nhất thắp lửa đam mê :))),2023-11-15 00:00:00
3043,100017065172701,Nguyễn Công Đồng,"T1 như diêm thống nhất vậy, họ cháy vãi loz =))))",2023-11-15 00:00:00
3044,100010787771451,Đại Nguyễn,Tê con mãi đỉnk,2023-11-15 00:00:00
3045,100015449389416,Phan Thiệu Khang,Nguyễn Hữu Quốc Công founder hãng này Tcon à =)),2023-11-15 00:00:00
3046,100028532143695,Nguyễn Hữu Quốc Công,Phan Thiệu Khang bên marketing chắc động tê con,2023-11-15 00:00:00
3047,100024424606340,Vũ Thị Ánh Hồng,Thì chị cút mẹ luôn đi 😀,2023-11-15 00:00:00
3048,100049012634570,Lê Chi,"thì em đi nấu ăn, bai chị",2023-11-15 00:00:00
3049,100034623225219,Khánh Linh,thì tự làm đi bà nội ai rảnh 🙂,2023-11-15 00:00:00
3050,100056541782452,An Thảo,Ib cuối tuần tui lơ khun rep 💅,2023-11-15 00:00:00
3051,100012945439482,Meo Meo,thì nghỉ đi mai em làm cho,2023-11-22 00:00:00
3052,100038949681335,Bella Trần,Thì cút 🙂,2023-11-15 00:00:00
3053,100080493909695,Lý Gia An,Thì em kh làm 🥰,2023-11-22 00:00:00
3054,100024994927573,Nguyen Diep Hung,Thì thôi =)),2023-11-15 00:00:00
3055,100074692637657,Bé Ghẻ,Bảo Uyên 🤞🏻,2023-11-15 00:00:00
3056,100034134289512,Bảo Uyên,Bé Ghẻ ☝️☝️☝️,2023-11-15 00:00:00
3057,100074692637657,Bé Ghẻ,Bảo Uyên thì,2023-11-15 00:00:00
3058,100075918008315,Tiệm Trà Chị Bảy Tarot,Thì .... seen thôi nha chị :v,2023-11-15 00:00:00
3059,100038112014317,Nguyễn Thị Mỹ Duyên,Đợi qua ngày đi làm đi chị :)),2023-11-15 00:00:00
3060,100046037626453,Nguyễn Quỳnh Như,Thì đéo làm,2023-11-15 00:00:00
3061,100073134505664,Toàn Nguyễn,thì em đéo làm oke chưa ?,2023-11-15 00:00:00
3062,100015478154335,Thu Tran,Thì mày làm đi :),2023-11-15 00:00:00
3063,100012847893922,Nguyễn Phương Thảo,Duy Hoàng c mới thấy dl của e trong gr TT :)),2023-11-15 00:00:00
3064,100013434184240,Duy Hoàng,Nguyễn Phương Thảo ngta xong 2 ngày trc rồi :)),2023-11-15 00:00:00
3065,100080266101305,Mi,thầm mùa xuân,2023-11-15 00:00:00
3066,100033608148599,Hoàng Dũng,nè xài đi =)))\ncre: BodyMiss - Miss Me Miss My Body,2023-11-22 00:00:00
3067,100024644670532,Võ Ngọc Thiên Kim,Thì tắt noti chat ẹh hehee,2023-11-22 00:00:00
3068,100010899311837,Hân Ngọc,Vân Vân chắc là tới ché là ko có tin nhắn đầu tiên luôn đk,2023-11-15 00:00:00
3069,100004656103020,Vân Vân,Hân Ngọc khỏi nói,2023-11-15 00:00:00
3070,100066545838372,Jehvon Koji,"cô chủ nhiệm :""thì chứ sao""",2023-11-22 00:00:00
3071,100006529119975,Nguyễn Ngọc Khánh Linh,Bảo Ngọc dậy làm ngay đi em,2023-11-15 00:00:00
3072,100009303100680,Bảo Ngọc,Nguyễn Ngọc Khánh Linh thì thầm mùa xuân,2023-11-15 00:00:00
3073,100074863791661,Nguyễn Hiền,ờ,2023-11-15 00:00:00
